column,data_type,type,mapping_code,description,alias
Client Type,string,internal,,Organization type,Organization Type
Client,string,internal,,Organization,Organization
Project,string,internal,,Name of the SEMBU Project,Project name
Project Type,string,internal,,Type of Project,Project type
Task,string,internal,,Name of the main task,Project Title
ProjectOwner,string,internal,,Name of the Project Owner,Project Owner
TeamMember,string,internal,,Name of the Project Member,Project Member
Duration (in days),time,internal,,Duration of the project,Project Duration
Project Start date,external-id,external,P580,Starting date of SEMBU project,Start time
Project End date,external-id,external,P582,Ending date of SEMBU project,End time